=================================================================================================
                                              Kernel Shape      Output Shape  \
296_l8.tcn1.branches.0.BatchNorm2d_1        128.0      64.0  
297_l8.tcn1.branches.0.ReLU_2                   -         -  
298_l8.tcn1.branches.0.3.Conv2d_conv      20.544k    8.192M  
299_l8.tcn1.branches.0.3.BatchNorm2d_bn     128.0      64.0  
300_l8.tcn1.branches.1.Conv2d_0           16.448k  13.1072M  
301_l8.tcn1.branches.1.BatchNorm2d_1        128.0      64.0  
302_l8.tcn1.branches.1.ReLU_2                   -         -  
303_l8.tcn1.branches.1.3.Conv2d_conv      20.544k    8.192M  
304_l8.tcn1.branches.1.3.BatchNorm2d_bn     128.0      64.0  
305_l8.tcn1.branches.2.Conv2d_0           16.448k  13.1072M  
306_l8.tcn1.branches.2.BatchNorm2d_1        128.0      64.0  
307_l8.tcn1.branches.2.ReLU_2                   -         -  
308_l8.tcn1.branches.2.MaxPool2d_3              -         -  
309_l8.tcn1.branches.2.BatchNorm2d_4        128.0      64.0  
310_l8.tcn1.branches.3.Conv2d_0           16.448k   6.5536M  
311_l8.tcn1.branches.3.BatchNorm2d_1        128.0      64.0  
312_l8.residual.Conv2d_conv               33.024k  13.1072M  
313_l8.residual.BatchNorm2d_bn              512.0     256.0  
314_l8.ReLU_relu                                -         -  
315_l9.gcn1.convs.0.Conv2d_conv1           8.224k   3.2768M  
316_l9.gcn1.convs.0.Conv2d_conv2           8.224k   3.2768M  
317_l9.gcn1.convs.0.Conv2d_conv3          65.792k  26.2144M  
318_l9.gcn1.convs.0.Softmax_softmax             -         -  
319_l9.gcn1.convs.0.Tanh_tanh                   -         -  
320_l9.gcn1.convs.0.Conv2d_conv4           8.448k     5.12M  
321_l9.gcn1.convs.1.Conv2d_conv1           8.224k   3.2768M  
322_l9.gcn1.convs.1.Conv2d_conv2           8.224k   3.2768M  
323_l9.gcn1.convs.1.Conv2d_conv3          65.792k  26.2144M  
324_l9.gcn1.convs.1.Softmax_softmax             -         -  
325_l9.gcn1.convs.1.Tanh_tanh                   -         -  
326_l9.gcn1.convs.1.Conv2d_conv4           8.448k     5.12M  
327_l9.gcn1.convs.2.Conv2d_conv1           8.224k   3.2768M  
328_l9.gcn1.convs.2.Conv2d_conv2           8.224k   3.2768M  
329_l9.gcn1.convs.2.Conv2d_conv3          65.792k  26.2144M  
330_l9.gcn1.convs.2.Softmax_softmax             -         -  
331_l9.gcn1.convs.2.Tanh_tanh                   -         -  
332_l9.gcn1.convs.2.Conv2d_conv4           8.448k     5.12M  
333_l9.gcn1.BatchNorm2d_bn                  512.0     256.0  
334_l9.gcn1.ReLU_relu                           -         -  
335_l9.tcn1.branches.0.Conv2d_0           16.448k   6.5536M  
336_l9.tcn1.branches.0.BatchNorm2d_1        128.0      64.0  
337_l9.tcn1.branches.0.ReLU_2                   -         -  
338_l9.tcn1.branches.0.3.Conv2d_conv      20.544k    8.192M  
339_l9.tcn1.branches.0.3.BatchNorm2d_bn     128.0      64.0  
340_l9.tcn1.branches.1.Conv2d_0           16.448k   6.5536M  
341_l9.tcn1.branches.1.BatchNorm2d_1        128.0      64.0  
342_l9.tcn1.branches.1.ReLU_2                   -         -  
343_l9.tcn1.branches.1.3.Conv2d_conv      20.544k    8.192M  
344_l9.tcn1.branches.1.3.BatchNorm2d_bn     128.0      64.0  
345_l9.tcn1.branches.2.Conv2d_0           16.448k   6.5536M  
346_l9.tcn1.branches.2.BatchNorm2d_1        128.0      64.0  
347_l9.tcn1.branches.2.ReLU_2                   -         -  
348_l9.tcn1.branches.2.MaxPool2d_3              -         -  
349_l9.tcn1.branches.2.BatchNorm2d_4        128.0      64.0  
350_l9.tcn1.branches.3.Conv2d_0           16.448k   6.5536M  
351_l9.tcn1.branches.3.BatchNorm2d_1        128.0      64.0  
352_l9.ReLU_relu                                -         -  
353_l10.gcn1.convs.0.Conv2d_conv1          8.224k   3.2768M  
354_l10.gcn1.convs.0.Conv2d_conv2          8.224k   3.2768M  
355_l10.gcn1.convs.0.Conv2d_conv3         65.792k  26.2144M  
356_l10.gcn1.convs.0.Softmax_softmax            -         -  
357_l10.gcn1.convs.0.Tanh_tanh                  -         -  
358_l10.gcn1.convs.0.Conv2d_conv4          8.448k     5.12M  
359_l10.gcn1.convs.1.Conv2d_conv1          8.224k   3.2768M  
360_l10.gcn1.convs.1.Conv2d_conv2          8.224k   3.2768M  
361_l10.gcn1.convs.1.Conv2d_conv3         65.792k  26.2144M  
362_l10.gcn1.convs.1.Softmax_softmax            -         -  
363_l10.gcn1.convs.1.Tanh_tanh                  -         -  
364_l10.gcn1.convs.1.Conv2d_conv4          8.448k     5.12M  
365_l10.gcn1.convs.2.Conv2d_conv1          8.224k   3.2768M  
366_l10.gcn1.convs.2.Conv2d_conv2          8.224k   3.2768M  
367_l10.gcn1.convs.2.Conv2d_conv3         65.792k  26.2144M  
368_l10.gcn1.convs.2.Softmax_softmax            -         -  
369_l10.gcn1.convs.2.Tanh_tanh                  -         -  
370_l10.gcn1.convs.2.Conv2d_conv4          8.448k     5.12M  
371_l10.gcn1.BatchNorm2d_bn                 512.0     256.0  
372_l10.gcn1.ReLU_relu                          -         -  
373_l10.tcn1.branches.0.Conv2d_0          16.448k   6.5536M  
374_l10.tcn1.branches.0.BatchNorm2d_1       128.0      64.0  
375_l10.tcn1.branches.0.ReLU_2                  -         -  
376_l10.tcn1.branches.0.3.Conv2d_conv     20.544k    8.192M  
377_l10.tcn1.branches.0.3.BatchNorm2d_bn    128.0      64.0  
378_l10.tcn1.branches.1.Conv2d_0          16.448k   6.5536M  
379_l10.tcn1.branches.1.BatchNorm2d_1       128.0      64.0  
380_l10.tcn1.branches.1.ReLU_2                  -         -  
381_l10.tcn1.branches.1.3.Conv2d_conv     20.544k    8.192M  
382_l10.tcn1.branches.1.3.BatchNorm2d_bn    128.0      64.0  
383_l10.tcn1.branches.2.Conv2d_0          16.448k   6.5536M  
384_l10.tcn1.branches.2.BatchNorm2d_1       128.0      64.0  
385_l10.tcn1.branches.2.ReLU_2                  -         -  
386_l10.tcn1.branches.2.MaxPool2d_3             -         -  
387_l10.tcn1.branches.2.BatchNorm2d_4       128.0      64.0  
388_l10.tcn1.branches.3.Conv2d_0          16.448k   6.5536M  
389_l10.tcn1.branches.3.BatchNorm2d_1       128.0      64.0  
390_l10.ReLU_relu                               -         -  
391_fc                                     15.42k    15.36k  
-------------------------------------------------------------------------------------------------
                           Totals
Total params            1.427912M
Trainable params        1.427912M
Non-trainable params          0.0
Mult-Adds             877.434614M
=================================================================================================
