=================================================================================================
                                              Kernel Shape      Output Shape  \
180_l5.tcn1.branches.0.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
181_l5.tcn1.branches.0.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
182_l5.tcn1.branches.1.Conv2d_0            [128, 32, 1, 1]   [2, 32, 64, 25]   
183_l5.tcn1.branches.1.BatchNorm2d_1                  [32]   [2, 32, 64, 25]   
184_l5.tcn1.branches.1.ReLU_2                            -   [2, 32, 64, 25]   
185_l5.tcn1.branches.1.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
186_l5.tcn1.branches.1.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
187_l5.tcn1.branches.2.Conv2d_0            [128, 32, 1, 1]   [2, 32, 64, 25]   
188_l5.tcn1.branches.2.BatchNorm2d_1                  [32]   [2, 32, 64, 25]   
189_l5.tcn1.branches.2.ReLU_2                            -   [2, 32, 64, 25]   
190_l5.tcn1.branches.2.MaxPool2d_3                       -   [2, 32, 32, 25]   
191_l5.tcn1.branches.2.BatchNorm2d_4                  [32]   [2, 32, 32, 25]   
192_l5.tcn1.branches.3.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
193_l5.tcn1.branches.3.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
194_l5.residual.Conv2d_conv                [64, 128, 1, 1]  [2, 128, 32, 25]   
195_l5.residual.BatchNorm2d_bn                       [128]  [2, 128, 32, 25]   
196_l5.ReLU_relu                                         -  [2, 128, 32, 25]   
197_l6.gcn1.convs.0.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
198_l6.gcn1.convs.0.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
199_l6.gcn1.convs.0.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
200_l6.gcn1.convs.0.Softmax_softmax                      -      [32, 25, 25]   
201_l6.gcn1.convs.0.Tanh_tanh                            -   [2, 16, 25, 25]   
202_l6.gcn1.convs.0.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
203_l6.gcn1.convs.1.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
204_l6.gcn1.convs.1.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
205_l6.gcn1.convs.1.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
206_l6.gcn1.convs.1.Softmax_softmax                      -      [32, 25, 25]   
207_l6.gcn1.convs.1.Tanh_tanh                            -   [2, 16, 25, 25]   
208_l6.gcn1.convs.1.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
209_l6.gcn1.convs.2.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
210_l6.gcn1.convs.2.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
211_l6.gcn1.convs.2.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
212_l6.gcn1.convs.2.Softmax_softmax                      -      [32, 25, 25]   
213_l6.gcn1.convs.2.Tanh_tanh                            -   [2, 16, 25, 25]   
214_l6.gcn1.convs.2.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
215_l6.gcn1.BatchNorm2d_bn                           [128]  [2, 128, 32, 25]   
216_l6.gcn1.ReLU_relu                                    -  [2, 128, 32, 25]   
217_l6.tcn1.branches.0.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
218_l6.tcn1.branches.0.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
219_l6.tcn1.branches.0.ReLU_2                            -   [2, 32, 32, 25]   
220_l6.tcn1.branches.0.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
221_l6.tcn1.branches.0.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
222_l6.tcn1.branches.1.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
223_l6.tcn1.branches.1.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
224_l6.tcn1.branches.1.ReLU_2                            -   [2, 32, 32, 25]   
225_l6.tcn1.branches.1.3.Conv2d_conv        [32, 32, 5, 1]   [2, 32, 32, 25]   
226_l6.tcn1.branches.1.3.BatchNorm2d_bn               [32]   [2, 32, 32, 25]   
227_l6.tcn1.branches.2.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
228_l6.tcn1.branches.2.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
229_l6.tcn1.branches.2.ReLU_2                            -   [2, 32, 32, 25]   
230_l6.tcn1.branches.2.MaxPool2d_3                       -   [2, 32, 32, 25]   
231_l6.tcn1.branches.2.BatchNorm2d_4                  [32]   [2, 32, 32, 25]   
232_l6.tcn1.branches.3.Conv2d_0            [128, 32, 1, 1]   [2, 32, 32, 25]   
233_l6.tcn1.branches.3.BatchNorm2d_1                  [32]   [2, 32, 32, 25]   
234_l6.ReLU_relu                                         -  [2, 128, 32, 25]   
235_l7.gcn1.convs.0.Conv2d_conv1           [128, 16, 1, 1]   [2, 16, 32, 25]   
236_l7.gcn1.convs.0.Conv2d_conv2           [128, 16, 1, 1]   [2, 16, 32, 25]   
237_l7.gcn1.convs.0.Conv2d_conv3          [128, 128, 1, 1]  [2, 128, 32, 25]   
238_l7.gcn1.convs.0.Softmax_softmax                      -      [32, 25, 25]   
239_l7.gcn1.convs.0.Tanh_tanh                            -   [2, 16, 25, 25]   
240_l7.gcn1.convs.0.Conv2d_conv4           [16, 128, 1, 1]  [2, 128, 25, 25]   
